mes;ano;estacion;med_diurno;med_vespertino;med_nocturno;LAeq24;med_percentil01;med_percentil10;med_percentil50;med_percentil90;med_percentil99
12;2051;24;49.4;45.9;44.4;47.7;56.6;50.8;44.1;38.4;36.6
12;2051;25;68.3;67.5;62.9;67;71.8;69.7;66.8;56.2;44.6
12;2051;26;60.8;59;54.9;60.7;68;63.5;55.3;46.4;38.8
12;2051;27;57.7;55.8;52.4;56.2;66;59.8;49.7;40.4;33.9
12;2051;28;68.4;66;60.1;66.5;74.9;70.9;61.4;41;35.5
12;2051;29;58.1;56.5;50.1;56.3;65.5;60.9;50.1;34.6;32.3
12;2051;30;60.3;57.3;52.2;58.3;65.9;61.6;55.5;42.7;37.4
12;2051;31;64.3;63.5;54;62.6;72.8;67.5;54.8;42.1;37.5
12;2051;47;56.2;55.4;48.9;54.6;65.8;54.8;47.7;38.2;34.5
12;2051;48;61.1;60.4;54.8;59.7;66.9;62.9;57.8;45.9;38.6
12;2051;50;66.1;65.7;60.4;64.8;70.8;67.1;63;51.5;45.4
12;2051;54;61.8;61;53.9;60.2;67;63.8;58.3;40.8;34.3
12;2051;55;55.6;53.5;50.2;54;62.7;56.4;49.8;43;38.1
12;2051;86;57;56.7;48.1;55.4;63.5;58.2;49.8;38;35.5
